window_id,timestamp,datetime,duration,flow_count,CPWE,CPRF,RFPSD,RFBSD,CFER
201,1743373710.270128,2025-03-30 23:28:30.270128,2.3240809440612793,4,1.0,3.4422209004563236,3.1622776601683795,439.5929935747384,2.0
202,1743373712.594683,2025-03-30 23:28:32.594683,2.1165080070495605,4,1.0,3.7798108834712623,4.242640687119285,593.3236890601959,2.0
203,1743373715.683744,2025-03-30 23:28:35.683744,2.146182060241699,4,1.0,3.7275495626401125,4.242640687119285,587.9532294324099,3.0
204,1743373717.829941,2025-03-30 23:28:37.829941,2.134113073348999,4,1.0,3.748629864042697,3.1622776601683795,467.6481048822929,2.0
205,1743373719.964149,2025-03-30 23:28:39.964149,2.1897470951080322,4,1.0,3.6533899361585025,3.1622776601683795,439.5929935747384,2.0
206,1743373722.154832,2025-03-30 23:28:42.154832,3.0651211738586426,4,0.9971803988942642,2.6100110064911073,4.242640687119285,593.3236890601959,2.0
207,1743373725.28922,2025-03-30 23:28:45.289220,2.0587658882141113,4,0.9971803988942642,3.88582307769809,4.0,565.4358385351958,3.0
208,1743373727.348131,2025-03-30 23:28:47.348131,2.135077953338623,4,0.9971803988942642,3.746935791028329,2.8284271247461903,412.641112227078,2.0
209,1743373729.483267,2025-03-30 23:28:49.483267,2.0667479038238525,4,0.9971803988942642,3.8708155867479395,4.0,588.7418789248817,2.0
210,1743373732.392046,2025-03-30 23:28:52.392046,3.0649149417877197,3,1.0,3.4802488386333352,1.8856180831641267,338.4684459279607,2.0
211,1743373736.485791,2025-03-30 23:28:56.485791,4.8513970375061035,3,1.0,2.198679387442992,0.9428090415820634,221.61227402831278,1.0
212,1743373741.337235,2025-03-30 23:29:01.337235,4.25045108795166,4,1.0,1.8821531725601597,3.7416573867739413,542.6204935311604,2.0
213,1743373745.588135,2025-03-30 23:29:05.588135,4.094389915466309,4,1.0,1.9538930500440341,3.7416573867739413,542.6204935311604,2.0
214,1743373749.682889,2025-03-30 23:29:09.682889,4.188385009765625,4,1.0,1.9100440817516118,3.7416573867739413,542.6204935311604,2.0
215,1743373753.871708,2025-03-30 23:29:13.871708,4.156620025634766,4,1.0,1.9246406817708348,3.7416573867739413,542.6204935311604,2.0
216,1743373758.029034,2025-03-30 23:29:18.029034,4.258602142333984,4,1.0,1.8785506916632255,3.7416573867739413,542.6204935311604,2.0
217,1743373762.28819,2025-03-30 23:29:22.288190,4.163676023483276,4,1.0,1.9213790782183158,3.7416573867739413,514.0515538348269,2.0
218,1743373766.451891,2025-03-30 23:29:26.451891,4.467139005661011,4,1.0,1.7908553975736927,2.8284271247461903,470.57517996596465,2.0
219,1743373770.919035,2025-03-30 23:29:30.919035,4.159485101699829,4,1.0,1.9233149787531858,2.8284271247461903,470.57517996596465,2.0
220,1743373775.078524,2025-03-30 23:29:35.078524,4.230774879455566,4,1.0,1.890906566276453,2.8284271247461903,470.57517996596465,2.0
221,1743373779.309304,2025-03-30 23:29:39.309304,4.121541976928711,4,0.9971803988942642,1.9410211141320066,2.8284271247461903,440.92402973755014,2.0
222,1743373783.430888,2025-03-30 23:29:43.430888,4.153215169906616,4,0.9971803988942642,1.9262185253406645,2.8284271247461903,320.4465634080041,2.0
223,1743373787.584108,2025-03-30 23:29:47.584108,4.2110679149627686,4,1.0,1.8997556348056976,2.8284271247461903,470.57517996596465,2.0
224,1743373791.795179,2025-03-30 23:29:51.795179,4.150735139846802,4,1.0,1.9273694250448534,2.8284271247461903,470.57517996596465,2.0
225,1743373795.946094,2025-03-30 23:29:55.946094,4.085732936859131,4,1.0,1.9580330196887332,2.8284271247461903,470.57517996596465,2.0
226,1743373800.031834,2025-03-30 23:30:00.031834,4.071904182434082,4,1.0,1.964682772868639,2.8284271247461903,470.57517996596465,2.0
227,1743373804.103743,2025-03-30 23:30:04.103743,4.122464895248413,4,1.0,1.940586567327927,2.8284271247461903,470.57517996596465,2.0
228,1743373808.226212,2025-03-30 23:30:08.226212,4.2657248973846436,4,1.0,1.8754139548250934,2.8284271247461903,470.57517996596465,2.0
229,1743373812.491943,2025-03-30 23:30:12.491943,4.080928087234497,4,1.0,1.9603383909225711,2.8284271247461903,470.57517996596465,2.0
230,1743373816.572875,2025-03-30 23:30:16.572875,4.2878758907318115,4,1.0,1.8657256422211046,3.1622776601683795,455.5985074602418,2.0
231,1743373820.86085,2025-03-30 23:30:20.860850,4.149586915969849,4,1.0,1.9279027435747123,2.449489742783178,330.5162628373981,2.0
232,1743373825.011261,2025-03-30 23:30:25.011261,4.122067928314209,4,1.0,1.9407734513661299,2.449489742783178,330.5162628373981,2.0
233,1743373829.133441,2025-03-30 23:30:29.133441,4.0983381271362305,4,1.0,1.9520107301615224,2.449489742783178,330.5162628373981,1.0
234,1743373833.231857,2025-03-30 23:30:33.231857,4.124388933181763,4,1.0,1.939681278755734,2.449489742783178,330.5162628373981,2.0
235,1743373837.371695,2025-03-30 23:30:37.371695,4.148799896240234,4,1.0,1.9282684631885567,2.449489742783178,349.16758154215864,2.0
236,1743373841.520499,2025-03-30 23:30:41.520499,4.192611932754517,4,1.0,1.9081184064521937,3.1622776601683795,455.5985074602418,2.0
237,1743373845.713168,2025-03-30 23:30:45.713168,4.135475158691406,4,1.0,1.9344814544917857,2.449489742783178,330.5162628373981,2.0
238,1743373849.848757,2025-03-30 23:30:49.848757,4.082447052001953,4,1.0,1.9596090036432816,2.449489742783178,330.5162628373981,1.0
239,1743373853.931304,2025-03-30 23:30:53.931304,4.0660810470581055,4,0.9971803988942642,1.9674964437288254,2.5495097567963922,390.4410166721729,2.0
240,1743373858.0212,2025-03-30 23:30:58.021200,4.2059619426727295,4,1.0,1.9020619085574282,2.345207879911715,358.09522127501225,2.0
241,1743373862.227363,2025-03-30 23:31:02.227363,4.054448843002319,4,1.0,1.973141186331013,2.5495097567963922,322.4298373289916,2.0
242,1743373866.281927,2025-03-30 23:31:06.281927,4.079831838607788,4,1.0,1.9608651327967332,2.5495097567963922,322.4298373289916,2.0
243,1743373870.361801,2025-03-30 23:31:10.361801,4.183963060379028,4,1.0,1.912062770285375,2.5495097567963922,322.4298373289916,2.0
244,1743373874.545823,2025-03-30 23:31:14.545823,4.116912841796875,4,0.9971803988942642,1.9432036352045543,2.5495097567963922,322.4298373289916,2.0
245,1743373878.662821,2025-03-30 23:31:18.662821,4.137632846832275,4,1.0,1.9334726632704275,2.5495097567963922,322.4298373289916,2.0
246,1743373882.800777,2025-03-30 23:31:22.800777,4.345323085784912,4,1.0,1.841059880258577,3.082207001484488,390.55881439291574,2.0
247,1743373887.15908,2025-03-30 23:31:27.159080,4.198292970657349,4,1.0,1.905536382504387,2.5495097567963922,398.2894675986298,2.0
248,1743373891.359412,2025-03-30 23:31:31.359412,4.064717054367065,4,1.0,1.9681566743753864,2.5495097567963922,398.2894675986298,2.0
249,1743373895.426285,2025-03-30 23:31:35.426285,4.126970052719116,4,1.0,1.9384681492246545,2.5495097567963922,398.2894675986298,2.0
250,1743373899.555187,2025-03-30 23:31:39.555187,4.093954086303711,4,0.9971803988942642,1.9541010552033138,3.24037034920393,443.41571916205226,2.0
251,1743373903.649155,2025-03-30 23:31:43.649155,4.12716817855835,4,1.0,1.9383750925300214,2.8284271247461903,427.6172353869755,2.0
252,1743373907.77641,2025-03-30 23:31:47.776410,4.2438459396362305,4,1.0,1.8850825675085028,2.8284271247461903,427.6172353869755,2.0
253,1743373912.02027,2025-03-30 23:31:52.020270,4.2746899127960205,4,1.0,1.8714807771325106,2.8284271247461903,427.6172353869755,2.0
254,1743373916.294972,2025-03-30 23:31:56.294972,4.092257976531982,4,0.9971803988942642,1.954910967460479,2.8284271247461903,427.6172353869755,2.0
